coin,Date,Open,High,Low,Close,Volume,VWAP,TWAP
Bitcoin,2017-09-24,3769.49706803,3769.49706803,3639.30939863,3669.18265149,141801.25560511,3699.31603795,3698.31546892
Bitcoin,2017-09-23,3615.81213173,3804.24975725,3583.52504595,3772.05235305,187118.99422959,3712.90191606,3715.64540191
Bitcoin,2017-09-22,3627.25786682,3747.1939752,3543.75310668,3619.37391118,248382.77447660003,3634.27549592,3634.81612031
Bitcoin,2017-09-21,3836.88948047,3878.29044297,3611.18492935,3630.17478078,300792.63996541,3774.37925682,3784.44044153
Bitcoin,2017-09-20,3879.81878446,3986.82832981,3812.6676304,3837.40483356,214565.17586193,3901.51783978,3902.61941107
Bitcoin,2017-09-19,4020.24616743,4041.90351419,3814.21921734,3896.91076728,290630.37321702,3926.64240505,3926.91807113
Bitcoin,2017-09-18,3538.58731219,4007.3934629,3538.58731219,4007.3934629,383609.12692098,3830.41306591,3819.58588741
Bitcoin,2017-09-17,3586.83885103,3626.325558,3418.00268192,3539.24668009,295765.28240898,3530.80582446,3534.35117883
Bitcoin,2017-09-16,3634.58763589,3811.93123512,3431.44383535,3597.77682007,453522.96667376,3641.69406766,3628.00933075
Bitcoin,2017-09-15,3070.1651796,3731.71865022,2912.35840185,3630.04923277,1070084.45623609,3357.24456314,3345.25491809
Bitcoin,2017-09-14,3874.05893158,3925.02466217,3056.43025364,3057.97778358,774157.38082562,3540.42920554,3590.28810905
Bitcoin,2017-09-13,4122.06138219,4122.06138219,3786.7330678000003,3886.43558538,479087.77627579,3934.60751641,3942.47256053
Bitcoin,2017-09-12,4154.40053867,4335.50504438,4056.12749394,4120.67845577,314936.07982531,4199.72657745,4205.2062665
Bitcoin,2017-09-11,4067.17873284,4243.75697651,4052.92443024,4149.48955397,271251.62968198,4147.77415307,4147.84651481
Bitcoin,2017-09-10,4191.84479247,4191.84479247,3864.64990117,4065.64417631,329296.83549701,4063.65766952,4061.82646319
Bitcoin,2017-09-09,4218.10180221,4290.77003294,4072.47687922,4197.09874123,268065.38713453,4194.2074087,4190.35817061
Bitcoin,2017-09-08,4605.4516695,4646.40514362,4023.32136215,4211.5068252,486377.71659534,4355.50885049,4431.831389399999
Bitcoin,2017-09-07,4599.74147533,4653.33961026,4503.8229813,4605.09376198,211095.58542225,4582.1557993999995,4585.49686276
Bitcoin,2017-09-06,4403.82136645,4614.01106347,4399.49794973,4603.02132678,324435.73806164,4529.90015461,4535.57189664
Bitcoin,2017-09-05,4256.80008323,4457.17529506,4013.06420602,4402.45342497,505268.56178475,4246.92398909,4251.14153423
Bitcoin,2017-09-04,4622.88967018,4625.51288697,4133.31366641,4241.10864946,484258.0693108,4367.44786986,4390.62499928
Bitcoin,2017-09-03,4610.78898143,4763.87126026,4432.64372013,4616.64798116,289679.78280759,4616.00896102,4610.17032852
Bitcoin,2017-09-02,4905.56517687,4992.42105819,4489.85704324,4610.24036151,426839.17787999,4671.97085479,4688.86420765
Bitcoin,2017-09-01,4714.35547964,4895.17284765,4711.69197322,4895.17284765,275034.78763659997,4798.06377372,4795.51303559
Bitcoin,2017-08-31,4549.08044876,4726.66581487,4549.08044876,4716.730551899999,222196.05868102,4649.61867427,4649.80641042
Bitcoin,2017-08-30,4573.42835601,4629.01706383,4470.96172864,4553.8939719,230892.57516275,4565.82059155,4566.328428
